image_path,label,generator,split
wukong\800_wukong_image163.jpg,1,wukong,test
Nature\n01855672_10654.JPEG,0,Nature,test
BigGAN\375_biggan_00093.jpg,1,BigGAN,train
Midjourney\972_midjourney_34.jpg,1,Midjourney,test
stable_diffusion_v_1_5\103_sdv5_00003.jpg,1,stable_diffusion_v_1_5,train
glide\GLIDE_1000_200_07_761_glide_00022.jpg,1,glide,test
stable_diffusion_v_1_5\200_sdv5_00027.jpg,1,stable_diffusion_v_1_5,train
VQDM\VQDM_1000_200_06_614_vqdm_00035.jpg,1,VQDM,validation
BigGAN\060_biggan_00096.jpg,1,BigGAN,train
wukong\374_wukong_image68.jpg,1,wukong,test
Nature\n01860187_843.JPEG,0,Nature,train
ADM\481_adm_66.jpg,1,ADM,train
stable_diffusion_v_1_5\519_sdv5_00043.jpg,1,stable_diffusion_v_1_5,train
Nature\n01770393_8039.JPEG,0,Nature,validation
stable_diffusion_v_1_5\925_sdv5_00155.jpg,1,stable_diffusion_v_1_5,train
Nature\n01775062_6918.JPEG,0,Nature,validation
BigGAN\455_biggan_00074.jpg,1,BigGAN,train
Nature\n01537544_6369.JPEG,0,Nature,train
BigGAN\579_biggan_00198.jpg,1,BigGAN,train
BigGAN\657_biggan_00132.jpg,1,BigGAN,train
VQDM\VQDM_1000_200_05_516_vqdm_00058.jpg,1,VQDM,validation
Nature\ILSVRC2012_val_00017207.JPEG,0,Nature,train
glide\GLIDE_1000_200_08_807_glide_00039.jpg,1,glide,test
stable_diffusion_v_1_5\493_sdv5_00195.jpg,1,stable_diffusion_v_1_5,train
wukong\341_wukong_image7.jpg,1,wukong,test
Midjourney\430_midjourney_82.jpg,1,Midjourney,test
Nature\n01883070_2557.JPEG,0,Nature,train
wukong\97_wukong_image110.jpg,1,wukong,test
BigGAN\117_biggan_00097.jpg,1,BigGAN,train
wukong\111_wukong_image25.jpg,1,wukong,test
stable_diffusion_v_1_5\439_sdv5_00083.jpg,1,stable_diffusion_v_1_5,train
wukong\721_wukong_image72.jpg,1,wukong,test
Midjourney\452_midjourney_82.jpg,1,Midjourney,test
ADM\805_adm_69.jpg,1,ADM,train
ADM\525_adm_95.jpg,1,ADM,train
BigGAN\369_biggan_00097.jpg,1,BigGAN,train
ADM\171_adm_174.jpg,1,ADM,train
Nature\ILSVRC2012_val_00006808.JPEG,0,Nature,train
wukong\245_wukong_image88.jpg,1,wukong,test
Midjourney\129_midjourney_50.jpg,1,Midjourney,test
BigGAN\929_biggan_00137.jpg,1,BigGAN,train
Midjourney\84_midjourney_79.jpg,1,Midjourney,test
