image_path,label,generator,split
BigGAN\375_biggan_00093.jpg,1,BigGAN,train
stable_diffusion_v_1_5\103_sdv5_00003.jpg,1,stable_diffusion_v_1_5,train
stable_diffusion_v_1_5\200_sdv5_00027.jpg,1,stable_diffusion_v_1_5,train
BigGAN\060_biggan_00096.jpg,1,BigGAN,train
Nature\n01860187_843.JPEG,0,Nature,train
ADM\481_adm_66.jpg,1,ADM,train
stable_diffusion_v_1_5\519_sdv5_00043.jpg,1,stable_diffusion_v_1_5,train
stable_diffusion_v_1_5\925_sdv5_00155.jpg,1,stable_diffusion_v_1_5,train
BigGAN\455_biggan_00074.jpg,1,BigGAN,train
Nature\n01537544_6369.JPEG,0,Nature,train
BigGAN\579_biggan_00198.jpg,1,BigGAN,train
BigGAN\657_biggan_00132.jpg,1,BigGAN,train
Nature\ILSVRC2012_val_00017207.JPEG,0,Nature,train
stable_diffusion_v_1_5\493_sdv5_00195.jpg,1,stable_diffusion_v_1_5,train
Nature\n01883070_2557.JPEG,0,Nature,train
BigGAN\117_biggan_00097.jpg,1,BigGAN,train
stable_diffusion_v_1_5\439_sdv5_00083.jpg,1,stable_diffusion_v_1_5,train
ADM\805_adm_69.jpg,1,ADM,train
ADM\525_adm_95.jpg,1,ADM,train
BigGAN\369_biggan_00097.jpg,1,BigGAN,train
ADM\171_adm_174.jpg,1,ADM,train
Nature\ILSVRC2012_val_00006808.JPEG,0,Nature,train
BigGAN\929_biggan_00137.jpg,1,BigGAN,train
ADM\839_adm_3.jpg,1,ADM,train
BigGAN\413_biggan_00040.jpg,1,BigGAN,train
Nature\n01819313_4127.JPEG,0,Nature,train
BigGAN\967_biggan_00196.jpg,1,BigGAN,train
Nature\n07747607_5707.JPEG,0,Nature,train
stable_diffusion_v_1_5\620_sdv5_00110.jpg,1,stable_diffusion_v_1_5,train
stable_diffusion_v_1_5\668_sdv5_00198.jpg,1,stable_diffusion_v_1_5,train
ADM\666_adm_188.jpg,1,ADM,train
Nature\ILSVRC2012_val_00008593.JPEG,0,Nature,train
ADM\603_adm_31.jpg,1,ADM,train
ADM\142_adm_101.jpg,1,ADM,train
Nature\n01877812_8107.JPEG,0,Nature,train
Nature\n01614925_16511.JPEG,0,Nature,train
ADM\963_adm_7.jpg,1,ADM,train
Nature\n01614925_18658.JPEG,0,Nature,train
BigGAN\510_biggan_00093.jpg,1,BigGAN,train
BigGAN\041_biggan_00191.jpg,1,BigGAN,train
Nature\n01833805_7699.JPEG,0,Nature,train
ADM\350_adm_91.jpg,1,ADM,train
ADM\671_adm_73.jpg,1,ADM,train
Nature\n02051845_9669.JPEG,0,Nature,train
Nature\n01698640_7709.JPEG,0,Nature,train
stable_diffusion_v_1_5\915_sdv5_00070.jpg,1,stable_diffusion_v_1_5,train
ADM\280_adm_48.jpg,1,ADM,train
Nature\n02027492_1702.JPEG,0,Nature,train
ADM\992_adm_24.jpg,1,ADM,train
BigGAN\754_biggan_00109.jpg,1,BigGAN,train
Nature\n01914609_4010.JPEG,0,Nature,train
ADM\614_adm_78.jpg,1,ADM,train
ADM\286_adm_91.jpg,1,ADM,train
stable_diffusion_v_1_5\714_sdv5_00085.jpg,1,stable_diffusion_v_1_5,train
ADM\501_adm_42.jpg,1,ADM,train
BigGAN\818_biggan_00060.jpg,1,BigGAN,train
stable_diffusion_v_1_5\983_sdv5_00070.jpg,1,stable_diffusion_v_1_5,train
ADM\235_adm_59.jpg,1,ADM,train
ADM\155_adm_153.jpg,1,ADM,train
ADM\409_adm_185.jpg,1,ADM,train
Nature\n01860187_6295.JPEG,0,Nature,train
ADM\751_adm_4.jpg,1,ADM,train
stable_diffusion_v_1_5\574_sdv5_00161.jpg,1,stable_diffusion_v_1_5,train
Nature\n01614925_3246.JPEG,0,Nature,train
Nature\ILSVRC2012_val_00021059.JPEG,0,Nature,train
stable_diffusion_v_1_5\687_sdv5_00110.jpg,1,stable_diffusion_v_1_5,train
BigGAN\172_biggan_00127.jpg,1,BigGAN,train
BigGAN\515_biggan_00105.jpg,1,BigGAN,train
ADM\875_adm_143.jpg,1,ADM,train
Nature\ILSVRC2012_val_00019782.JPEG,0,Nature,train
BigGAN\932_biggan_00130.jpg,1,BigGAN,train
ADM\563_adm_175.jpg,1,ADM,train
BigGAN\083_biggan_00075.jpg,1,BigGAN,train
stable_diffusion_v_1_5\623_sdv5_00016.jpg,1,stable_diffusion_v_1_5,train
stable_diffusion_v_1_5\031_sdv5_00014.jpg,1,stable_diffusion_v_1_5,train
ADM\924_adm_70.jpg,1,ADM,train
BigGAN\627_biggan_00119.jpg,1,BigGAN,train
Nature\n01950731_6605.JPEG,0,Nature,train
stable_diffusion_v_1_5\773_sdv5_00055.jpg,1,stable_diffusion_v_1_5,train
stable_diffusion_v_1_5\021_sdv5_00196.jpg,1,stable_diffusion_v_1_5,train
stable_diffusion_v_1_5\800_sdv5_00046.jpg,1,stable_diffusion_v_1_5,train
BigGAN\743_biggan_00115.jpg,1,BigGAN,train
ADM\175_adm_9.jpg,1,ADM,train
Nature\ILSVRC2012_val_00022444.JPEG,0,Nature,train
Nature\n01776313_29927.JPEG,0,Nature,train
Nature\n01950731_8324.JPEG,0,Nature,train
ADM\774_adm_61.jpg,1,ADM,train
ADM\183_adm_91.jpg,1,ADM,train
ADM\272_adm_153.jpg,1,ADM,train
Nature\n02007558_3769.JPEG,0,Nature,train
Nature\n01955084_13174.JPEG,0,Nature,train
Nature\ILSVRC2012_val_00045393.JPEG,0,Nature,train
Nature\n01986214_13155.JPEG,0,Nature,train
BigGAN\768_biggan_00068.jpg,1,BigGAN,train
stable_diffusion_v_1_5\095_sdv5_00009.jpg,1,stable_diffusion_v_1_5,train
ADM\493_adm_85.jpg,1,ADM,train
BigGAN\450_biggan_00074.jpg,1,BigGAN,train
ADM\881_adm_35.jpg,1,ADM,train
Nature\n01774384_1241.JPEG,0,Nature,train
BigGAN\057_biggan_00035.jpg,1,BigGAN,train
BigGAN\887_biggan_00084.jpg,1,BigGAN,train
stable_diffusion_v_1_5\755_sdv5_00034.jpg,1,stable_diffusion_v_1_5,train
Nature\ILSVRC2012_val_00033076.JPEG,0,Nature,train
ADM\190_adm_32.jpg,1,ADM,train
BigGAN\976_biggan_00031.jpg,1,BigGAN,train
Nature\n02002556_1255.JPEG,0,Nature,train
Nature\n01735189_18696.JPEG,0,Nature,train
stable_diffusion_v_1_5\608_sdv5_00009.jpg,1,stable_diffusion_v_1_5,train
BigGAN\671_biggan_00138.jpg,1,BigGAN,train
ADM\647_adm_42.jpg,1,ADM,train
ADM\394_adm_57.jpg,1,ADM,train
Nature\ILSVRC2012_val_00048864.JPEG,0,Nature,train
BigGAN\676_biggan_00008.jpg,1,BigGAN,train
Nature\n02834397_8710.JPEG,0,Nature,train
Nature\n01773797_3126.JPEG,0,Nature,train
stable_diffusion_v_1_5\916_sdv5_00026.jpg,1,stable_diffusion_v_1_5,train
BigGAN\434_biggan_00030.jpg,1,BigGAN,train
BigGAN\023_biggan_00139.jpg,1,BigGAN,train
Nature\n02077923_654.JPEG,0,Nature,train
Nature\n01622779_2039.JPEG,0,Nature,train
ADM\169_adm_69.jpg,1,ADM,train
BigGAN\442_biggan_00039.jpg,1,BigGAN,train
BigGAN\147_biggan_00039.jpg,1,BigGAN,train
ADM\116_adm_59.jpg,1,ADM,train
Nature\n01819313_3530.JPEG,0,Nature,train
stable_diffusion_v_1_5\225_sdv5_00051.jpg,1,stable_diffusion_v_1_5,train
Nature\n01833805_568.JPEG,0,Nature,train
stable_diffusion_v_1_5\667_sdv5_00044.jpg,1,stable_diffusion_v_1_5,train
BigGAN\813_biggan_00186.jpg,1,BigGAN,train
BigGAN\997_biggan_00082.jpg,1,BigGAN,train
ADM\640_adm_78.jpg,1,ADM,train
BigGAN\667_biggan_00117.jpg,1,BigGAN,train
Nature\n01773797_639.JPEG,0,Nature,train
stable_diffusion_v_1_5\909_sdv5_00175.jpg,1,stable_diffusion_v_1_5,train
Nature\n01818515_1312.JPEG,0,Nature,train
BigGAN\386_biggan_00157.jpg,1,BigGAN,train
stable_diffusion_v_1_5\463_sdv5_00184.jpg,1,stable_diffusion_v_1_5,train
stable_diffusion_v_1_5\085_sdv5_00034.jpg,1,stable_diffusion_v_1_5,train
ADM\705_adm_22.jpg,1,ADM,train
stable_diffusion_v_1_5\610_sdv5_00178.jpg,1,stable_diffusion_v_1_5,train
ADM\615_adm_9.jpg,1,ADM,train
Nature\n01592084_6368.JPEG,0,Nature,train
BigGAN\914_biggan_00010.jpg,1,BigGAN,train
BigGAN\183_biggan_00143.jpg,1,BigGAN,train
stable_diffusion_v_1_5\611_sdv5_00100.jpg,1,stable_diffusion_v_1_5,train
stable_diffusion_v_1_5\497_sdv5_00121.jpg,1,stable_diffusion_v_1_5,train
BigGAN\020_biggan_00143.jpg,1,BigGAN,train
BigGAN\143_biggan_00056.jpg,1,BigGAN,train
BigGAN\336_biggan_00157.jpg,1,BigGAN,train
ADM\42_adm_111.jpg,1,ADM,train
BigGAN\730_biggan_00060.jpg,1,BigGAN,train
stable_diffusion_v_1_5\594_sdv5_00143.jpg,1,stable_diffusion_v_1_5,train
Nature\n02011460_4907.JPEG,0,Nature,train
BigGAN\289_biggan_00190.jpg,1,BigGAN,train
